               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.045618,             0.37063,                   0,             0.95365,             0.93997,             0.97563,             0.52286,            0.042618,             0.28397,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.047182,             0.37531,                   0,             0.93888,             0.89655,             0.94514,             0.42721,             0.04706,             0.28938,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.051247,             0.38988,                   0,             0.95653,             0.92958,             0.97328,             0.49389,            0.043393,             0.28849,                   0,            0.005545,            0.005545,            0.005545
                 137,             0.04608,             0.38084,                   0,             0.94934,             0.91638,             0.96487,             0.49302,            0.043594,             0.28848,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.046504,             0.37628,                   0,             0.94501,              0.9319,              0.9701,             0.48166,            0.043996,             0.28681,                   0,            0.005479,            0.005479,            0.005479
                 139,             0.04668,             0.38362,                   0,             0.95827,             0.92155,             0.96651,             0.49859,            0.043467,             0.29533,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.044757,             0.36092,                   0,             0.95755,             0.93448,             0.96992,             0.49842,            0.043277,             0.28794,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.045472,             0.35821,                   0,             0.95162,             0.90776,             0.95923,             0.47722,            0.044752,             0.28883,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.045883,             0.36978,                   0,             0.95898,             0.90603,              0.9652,             0.49451,            0.043364,             0.29323,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.045261,             0.37089,                   0,             0.96087,             0.91017,             0.96568,             0.49842,            0.043123,             0.28877,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.045874,             0.37374,                   0,             0.95841,             0.91983,              0.9675,             0.47727,            0.044224,             0.28976,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.046598,             0.37974,                   0,             0.94219,             0.92729,             0.96041,             0.47916,            0.044716,             0.28927,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.047362,             0.37939,                   0,             0.94942,             0.93863,             0.97345,             0.49615,            0.043037,             0.28591,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.046068,              0.3782,                   0,             0.93913,             0.91207,             0.95155,             0.45348,            0.045566,             0.29192,                   0,            0.005182,            0.005182,            0.005182
